transaction_id,customer_id,transaction_datetime,amount,merchant_category,transaction_type,channel,card_present,is_international,device_trust_score,ip_risk_score,account_age_days,txn_count_24h,avg_amount_30d,time_since_last_txn_sec,same_device_as_last,device_id,is_fraud
T0000522,100170,2024-05-01 15:53:07,66.76,restaurants,online,in_person,0,0,0.574,21,2636,0,26.81,459,1,D44049787,1
T0000738,100268,2024-06-02 08:44:41,306.83,entertainment,online,web,1,0,0.711,10,137,0,188.18,274,1,D31170251,1
T0000741,100126,2025-09-24 12:48:25,365.61,electronics,transfer,web,1,0,0.568,21,765,1,153.89,2858,1,D15532807,1
T0000661,100941,2024-01-17 18:23:40,32.37,entertainment,pos,in_person,1,0,0.518,33,257,3,164.45,453,1,D29633303,1
T0000412,100894,2025-08-10 22:04:26,18.17,travel,transfer,in_person,0,0,0.709,2,233,2,44.53,1828,0,D46389093,0
T0000679,100309,2025-10-23 12:49:02,210.38,utilities,online,mobile,0,0,0.766,10,2245,2,104.49,1129,1,D59420965,1
T0000627,100498,2024-03-31 23:37:07,102.47,grocery,online,in_person,1,0,0.881,49,1330,3,222.68,312,1,D27794186,1
T0000514,100687,2025-11-23 12:30:16,137.35,healthcare,online,mobile,1,0,0.286,89,577,4,1.0,8713,0,D22280355,0
T0000860,100991,2024-02-24 02:27:39,270.4,travel,transfer,in_person,1,1,0.893,46,999,3,65.61,666,1,D46499359,1
T0000137,100424,2025-06-02 04:06:56,196.79,restaurants,pos,mobile,0,0,0.704,26,987,2,98.05,12253,1,D80186098,0
T0000812,100599,2025-12-17 05:55:33,88.23,healthcare,atm,web,1,0,0.749,3,2192,1,183.7,2589,0,D66073932,0
T0000077,100565,2025-03-08 04:47:27,101.04,online_services,pos,ivr,1,0,0.391,27,553,1,1.0,7087,1,D22432089,0
T0000637,100265,2024-07-26 18:59:42,125.09,gas,pos,web,1,0,0.658,24,307,1,1.0,9224,1,D94152427,0
T0000974,100881,2024-05-25 11:21:30,258.56,electronics,online,in_person,1,0,0.321,37,228,1,57.96,6414,1,D42590509,0
T0000939,100843,2024-01-26 00:59:37,345.94,online_services,pos,web,1,1,0.348,23,491,1,118.69,674,0,D41276693,1
T0000900,100035,2024-10-14 04:43:09,37.26,travel,transfer,in_person,0,0,0.573,12,2422,4,1.0,8210,1,D88194846,0
T0000281,100156,2024-09-02 01:17:53,228.64,entertainment,online,in_person,1,0,0.248,100,910,1,260.96,4940,1,D42563510,1
T0000884,100137,2025-04-17 09:50:55,51.69,grocery,pos,web,1,0,0.695,20,1022,3,98.55,5213,1,D63927652,0
T0000762,100797,2025-12-30 11:29:20,262.92,restaurants,online,in_person,1,0,0.687,40,651,1,121.25,10149,1,D22872569,0
T0000320,100398,2025-08-25 12:44:42,51.39,restaurants,pos,in_person,0,0,0.572,59,517,4,358.17,11868,1,D28920570,0
T0000550,100200,2025-06-24 23:49:19,269.45,online_services,pos,in_person,1,0,0.886,15,175,1,1.0,10553,0,D42312479,0
T0000175,100905,2025-12-03 19:30:28,46.99,restaurants,pos,mobile,1,0,0.272,59,404,0,171.43,8442,1,D40754699,1
T0000372,100003,2025-11-13 23:09:31,490.81,grocery,pos,in_person,0,0,0.587,40,1028,2,254.19,1012,1,D39720910,1
T0000528,100946,2025-11-19 08:19:19,167.06,restaurants,online,ivr,0,0,0.878,17,2383,2,94.81,2459,1,D54294673,1
T0000211,100889,2024-03-29 23:08:58,338.43,electronics,pos,ivr,1,0,0.617,43,1963,1,1.0,1141,0,D13142649,0
T0000236,100170,2024-10-09 03:00:31,82.37,utilities,pos,mobile,0,0,0.92,42,571,3,222.67,6731,1,D69828573,0
T0000102,100094,2024-01-13 07:08:39,477.85,gas,transfer,in_person,1,0,0.832,3,589,2,170.73,2024,1,D26685162,1
T0000987,100134,2025-10-20 14:58:38,41.94,gas,online,in_person,1,0,0.345,67,3650,1,132.91,6586,0,D83073291,0
T0000903,100063,2025-01-20 14:46:18,129.97,grocery,pos,ivr,1,0,0.687,34,1349,3,96.76,7296,0,D19793545,0
T0000948,100890,2024-08-03 23:48:51,10.62,restaurants,pos,mobile,0,0,0.636,60,357,3,1.0,6058,1,D20019914,0
T0000347,100926,2024-04-11 05:09:53,87.18,utilities,pos,web,1,0,0.85,32,493,4,35.23,5951,1,D28063464,0
T0000140,100435,2024-03-13 23:36:44,2043.62,gas,transfer,mobile,1,0,0.709,53,448,1,50.96,10445,0,D67536758,1
T0000622,100346,2025-04-20 07:16:20,152.76,travel,pos,in_person,1,0,0.319,29,68,1,1.0,3209,1,D15340966,0
T0000500,100822,2024-05-10 22:06:05,38.65,grocery,online,in_person,1,1,0.729,0,1031,4,337.94,1886,1,D34980866,1
T0000371,100418,2025-08-05 09:30:25,149.95,restaurants,pos,in_person,1,0,0.809,35,364,1,475.68,3040,1,D96111411,0
T0000199,100061,2024-09-26 04:18:33,147.73,restaurants,atm,in_person,1,1,0.275,31,1579,3,62.63,3943,1,D59731798,0
T0000688,100707,2024-06-01 04:58:16,571.66,restaurants,atm,web,0,0,0.838,12,760,1,1.0,2835,1,D53031987,0
