transaction_id,customer_id,transaction_datetime,amount,merchant_category,transaction_type,channel,card_present,is_international,device_trust_score,ip_risk_score,account_age_days,txn_count_24h,avg_amount_30d,time_since_last_txn_sec,same_device_as_last,device_id,is_fraud
T0000859,100284,2024-11-04 14:27:16,130.57,online_services,online,in_person,1,0,0.602,37,648,1,200.8,2218,0,D15607588,0
T0000987,100539,2024-02-25 10:04:31,216.53,gas,online,mobile,1,1,0.733,21,1168,4,190.57,871,1,D33083610,0
T0000184,100580,2024-12-12 22:32:00,218.48,entertainment,pos,web,0,0,0.204,19,3585,2,39.82,195,0,D13918128,1
T0000503,100732,2025-04-14 04:42:12,752.27,grocery,pos,in_person,1,0,0.916,23,3650,1,1.0,429,1,D65187191,0
T0000711,100841,2024-02-09 21:43:45,61.16,healthcare,online,in_person,1,0,0.628,19,123,2,323.89,9628,1,D73361324,0
T0000693,100385,2024-06-30 00:26:01,81.7,restaurants,online,in_person,0,0,0.43,58,1661,0,176.92,2183,0,D98082513,0
T0000605,100568,2024-07-25 01:08:14,255.88,gas,pos,in_person,0,0,0.602,50,186,3,1.0,5329,1,D40729251,0
T0000654,100909,2025-01-02 22:43:16,75.91,online_services,online,mobile,0,0,0.581,42,2494,4,197.36,1730,1,D18857494,0
T0000448,100909,2024-09-10 18:10:29,56.71,gas,pos,in_person,1,0,0.679,51,196,0,237.09,1239,1,D96669084,0
T0000885,100854,2025-08-05 12:56:22,341.72,gas,online,mobile,1,0,0.725,24,513,1,269.12,2246,0,D56738708,0
T0000083,100477,2025-10-02 05:08:05,204.79,restaurants,pos,in_person,0,0,0.493,30,475,1,1.0,1462,1,D49106180,0
T0000192,100309,2025-06-25 17:45:03,599.47,utilities,online,mobile,1,0,0.629,25,3650,2,194.13,1148,0,D87640348,0
T0000761,100664,2024-02-17 22:48:38,76.61,online_services,online,web,0,0,0.542,20,54,2,166.78,3807,0,D30745872,0
T0000696,100094,2024-08-03 11:49:50,328.98,gas,atm,mobile,1,0,0.882,46,114,3,200.62,869,1,D76139691,0
T0000875,100263,2024-12-09 08:59:48,26.84,electronics,pos,web,1,0,0.505,40,647,1,1.0,643,1,D34117885,0
T0000144,100951,2024-07-17 22:23:06,330.61,gas,online,in_person,1,0,0.38,39,1905,5,211.18,6547,1,D19005091,0
T0000181,100758,2025-05-07 03:06:16,110.85,restaurants,transfer,in_person,0,0,0.626,26,964,2,320.67,393,1,D60235547,0
T0000537,100484,2025-03-21 06:38:10,212.32,online_services,transfer,in_person,1,0,0.686,0,181,3,1.0,2526,0,D52084633,0
T0000501,100203,2025-01-27 12:02:53,244.25,utilities,pos,mobile,1,0,0.294,15,1619,1,123.1,14135,1,D84248637,0
T0000524,100794,2024-04-19 02:43:37,353.44,electronics,pos,in_person,1,0,0.337,48,298,1,47.36,3921,1,D78581977,0
T0000858,100386,2024-06-30 20:13:28,243.29,online_services,transfer,in_person,1,0,0.652,9,2180,1,136.98,4777,1,D88869056,0
T0000559,100941,2025-12-21 12:22:41,56.29,travel,online,in_person,0,0,0.4,77,222,3,75.41,964,1,D65794685,0
T0000651,100741,2024-09-02 07:52:30,473.85,restaurants,transfer,mobile,1,0,0.709,44,782,0,143.66,22947,1,D25702612,0
T0000531,100796,2024-01-14 01:28:37,83.41,gas,transfer,in_person,1,0,0.387,49,1561,2,40.29,2655,1,D87249292,0
T0000262,100509,2025-10-18 13:30:00,130.71,healthcare,online,in_person,0,0,0.236,40,2857,3,72.64,3517,1,D60858590,0
