feature,f_score,p_value,selected,coef,abs_coef
num_log__time_since_last_txn_sec,224.68244732530522,6.173831992962568e-45,True,-2.7240375262783854,2.7240375262783854
num_log__avg_amount_30d,121.0536668696636,2.591920763714795e-26,True,1.8674233955031336,1.8674233955031336
num_log__amount,64.8821352400301,2.8892915025444316e-15,True,1.3417176646124436,1.3417176646124436
cat__channel_ivr,5.6294191917111736,0.017897602472702077,True,-0.9556758944277032,0.9556758944277032
num__card_present,24.941746728456053,7.261114262225357e-07,True,-0.8540734711177344,0.8540734711177344
cat__channel_in_person,4.214178504583794,0.04041304860452863,True,-0.572560773772463,0.572560773772463
cat__merchant_category_utilities,4.950532426445577,0.026361496774604396,True,0.5105948790874092,0.5105948790874092
num__is_international,7.37824606356129,0.0067446264796643335,True,0.4959765599841723,0.4959765599841723
num__ip_risk_score,7.001387742917683,0.00830502865843485,True,0.476814470856037,0.476814470856037
num__same_device_as_last,11.879505180856905,0.0005972358007764934,True,-0.4380225824768973,0.4380225824768973
num__device_trust_score,6.003326429125695,0.014492700597665928,True,-0.3281886664225771,0.3281886664225771
num__txn_count_24h,5.190127420187364,0.022979111351865145,True,0.21116124370591152,0.21116124370591152
cat__channel_web,4.865933768675799,0.027676260613902753,True,0.17244166395104807,0.17244166395104807
cat__transaction_type_atm,4.436627561809192,0.0354873708248722,True,-0.14847297357688588,0.14847297357688588
cat__transaction_type_online,2.8586181728361733,0.09127604176812504,False,0.0,0.0
cat__merchant_category_electronics,2.688202566827426,0.1014879181883232,False,0.0,0.0
cat__merchant_category_restaurants,2.415800085058987,0.12051306960801604,False,0.0,0.0
cat__channel_mobile,1.8371837945450284,0.17566488147576897,False,0.0,0.0
num__account_age_days,1.47617593068947,0.22473315657076126,False,0.0,0.0
cat__merchant_category_online_services,1.0851930133253325,0.2978542349226033,False,0.0,0.0
cat__transaction_type_transfer,1.0523598557462661,0.30527507097020584,False,0.0,0.0
cat__merchant_category_grocery,0.9262284610958866,0.3361364087889729,False,0.0,0.0
cat__merchant_category_entertainment,0.7816724201961286,0.37689643204725254,False,0.0,0.0
cat__transaction_type_pos,0.5073097387185974,0.47651396006903135,False,0.0,0.0
cat__merchant_category_travel,0.4898602797968425,0.4841936152675048,False,0.0,0.0
cat__merchant_category_healthcare,0.2390280436228427,0.6250433326029535,False,0.0,0.0
cat__merchant_category_gas,0.0006640627766357175,0.9794476991657078,False,0.0,0.0
