feature,f_score,p_value,selected,coef,abs_coef
num_log__time_since_last_txn_sec,162.11407720293013,6.120158966023542e-34,True,-2.5685650645119527,2.5685650645119527
num_log__amount,48.04880528979557,8.579270050997103e-12,True,2.4122008206926973,2.4122008206926973
cat__merchant_category_electronics,6.286069651741293,0.01236671384697286,True,2.2564111957839597,2.2564111957839597
num_log__avg_amount_30d,9.519918559814128,0.00210269217872861,True,1.7813569531946372,1.7813569531946372
cat__channel_in_person,5.876769143871514,0.015563159363261801,True,-1.7245309886501672,1.7245309886501672
num__card_present,11.326241294790638,0.0008007130376037605,True,-0.8227966525706635,0.8227966525706635
num__account_age_days,8.791162623606574,0.0031171109783067635,True,0.6928682556726707,0.6928682556726707
cat__transaction_type_transfer,3.8141936496059334,0.05116924933762037,False,0.0,0.0
cat__transaction_type_atm,3.489850564351292,0.06211243605866939,False,0.0,0.0
cat__transaction_type_online,2.802575222317006,0.09450489220933199,False,0.0,0.0
cat__channel_web,2.744196246891258,0.09800124697377792,False,0.0,0.0
cat__transaction_type_pos,2.6918225183615063,0.10125844999109689,False,0.0,0.0
cat__merchant_category_online_services,2.383757292882145,0.12299880165705432,False,0.0,0.0
cat__channel_mobile,1.5695144437615542,0.21064452832067054,False,0.0,0.0
num__device_trust_score,1.4813995489902385,0.22391549527176674,False,0.0,0.0
num__ip_risk_score,0.9604514820787715,0.32737016771863936,False,0.0,0.0
cat__merchant_category_travel,0.8649673977474743,0.3526335747507704,False,0.0,0.0
cat__merchant_category_restaurants,0.5735112936344943,0.4490905343851165,False,0.0,0.0
cat__merchant_category_gas,0.43215492591630134,0.5111230091297208,False,0.0,0.0
cat__merchant_category_entertainment,0.2662802950474151,0.6059809124426596,False,0.0,0.0
cat__merchant_category_healthcare,0.20060988308095137,0.6543505818882667,False,0.0,0.0
num__txn_count_24h,0.07038069483392728,0.7908518087516048,False,0.0,0.0
cat__channel_ivr,0.058059822150363684,0.8096510671101816,False,0.0,0.0
cat__merchant_category_utilities,0.051285347043704126,0.8208995740932192,False,0.0,0.0
num__same_device_as_last,0.015067162971354702,0.9023372639920274,False,0.0,0.0
cat__merchant_category_grocery,0.012444638512861487,0.9112038781153159,False,0.0,0.0
num__is_international,0.00635181745821183,0.936497200875033,False,0.0,0.0
