run,approach,train_accuracy,test_accuracy,train_fraud_rate,test_fraud_rate,train_size,test_size,performance_gap
0,random,0.8575,0.87,0.49875,0.505,800,200,-0.012499999999999956
0,temporal,0.86875,0.83,0.48625,0.555,800,200,0.03875000000000006
1,random,0.855,0.865,0.49,0.54,800,200,-0.010000000000000009
1,temporal,0.86875,0.83,0.48625,0.555,800,200,0.03875000000000006
2,random,0.86,0.83,0.50125,0.495,800,200,0.030000000000000027
2,temporal,0.86875,0.83,0.48625,0.555,800,200,0.03875000000000006
3,random,0.86625,0.855,0.4925,0.53,800,200,0.011249999999999982
3,temporal,0.86875,0.83,0.48625,0.555,800,200,0.03875000000000006
4,random,0.85125,0.85,0.50625,0.475,800,200,0.0012499999999999734
4,temporal,0.86875,0.83,0.48625,0.555,800,200,0.03875000000000006
5,random,0.86375,0.835,0.49125,0.535,800,200,0.028750000000000053
5,temporal,0.86875,0.83,0.48625,0.555,800,200,0.03875000000000006
6,random,0.86375,0.85,0.50375,0.485,800,200,0.01375000000000004
6,temporal,0.86875,0.83,0.48625,0.555,800,200,0.03875000000000006
7,random,0.8725,0.815,0.51,0.46,800,200,0.05750000000000011
7,temporal,0.86875,0.83,0.48625,0.555,800,200,0.03875000000000006
8,random,0.85875,0.845,0.4975,0.51,800,200,0.01375000000000004
8,temporal,0.86875,0.83,0.48625,0.555,800,200,0.03875000000000006
9,random,0.85875,0.805,0.51125,0.455,800,200,0.053749999999999964
9,temporal,0.86875,0.83,0.48625,0.555,800,200,0.03875000000000006
